name,type,genre,episodes,popularity,averageScore,rating,animeYear
K-ON! Movie,MOVIE,"Comedy,Music,Slice of Life",1,55915,83,83,2012
Kimetsu no Yaiba: Mugen Ressha-hen (TV),TV,"Action,Adventure,Drama,Fantasy,Mystery,Supernatural",7,145404,83,83,2021
Josee to Tora to Sakanatachi,MOVIE,"Drama,Romance,Slice of Life",1,73305,83,83,2021
3-gatsu no Lion,TV,"Drama,Slice of Life",22,135490,83,83,2017
Mushishi: Hihamukage,SPECIAL,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",1,21872,83,83,2014
Zoku Natsume Yuujinchou,TV,"Drama,Fantasy,Slice of Life,Supernatural",13,32332,83,83,2009
JoJo no Kimyou na Bouken: Stone Ocean,ONA,"Action,Adventure,Drama,Supernatural",12,79893,83,83,2022
Kingdom 3,TV,Action,26,10160,83,84,2021
Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu,MOVIE,"Action,Adventure,Comedy,Fantasy,Supernatural",1,127346,83,83,2019
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,TV,"Comedy,Psychological,Romance,Slice of Life",12,306624,83,83,2019
Chihayafuru 2,TV,"Drama,Romance,Slice of Life,Sports",25,37408,83,83,2013
Gintama: Shinyaku Benizakura-hen,MOVIE,"Action,Comedy,Sci-Fi",1,24624,83,83,2010
Kobayashi-san Chi no Maidragon S,TV,"Comedy,Fantasy,Slice of Life",12,95816,83,83,2021
Saiki Kusuo no Ψ-nan,TV_SHORT,"Comedy,Slice of Life,Supernatural",120,196883,83,83,2017
One Punch Man,TV,"Action,Comedy,Sci-Fi,Supernatural",12,440520,83,83,2016
Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,MOVIE,"Drama,Fantasy,Mahou Shoujo,Mystery,Psychological,Thriller",1,67529,83,83,2013
Kenpuu Denki Berserk,TV,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",25,78176,83,83,1998
Tensei Shitara Slime Datta Ken 2nd Season Part 2,TV,"Action,Adventure,Comedy,Fantasy",12,117536,83,83,2021
Kono Oto Tomare! 2,TV,"Drama,Music,Romance,Slice of Life",13,27948,83,83,2020
Kaze ga Tsuyoku Fuiteiru,TV,"Comedy,Drama,Sports",23,59781,83,83,2019
Saenai Heroine no Sodatekata Fine,MOVIE,"Comedy,Romance,Slice of Life",1,32978,83,83,2019
Sono Bisque Doll wa Koi wo Suru,TV,"Comedy,Ecchi,Romance,Slice of Life",12,144871,83,83,2022
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,"Action,Adventure,Drama,Fantasy,Psychological,Thriller",13,193419,83,83,2020
Houseki no Kuni,TV,"Action,Drama,Fantasy,Mystery,Psychological",12,91158,83,83,2018
Uchuu Kyoudai,TV,"Comedy,Sci-Fi,Slice of Life",99,31843,83,83,2013
Kizumonogatari I: Tekketsu-hen,MOVIE,"Action,Drama,Ecchi,Mystery,Psychological,Supernatural",1,100107,83,83,2016
Shin Seiki Evangelion,TV,"Action,Drama,Mecha,Mystery,Psychological,Sci-Fi",26,258437,83,83,1996
Non Non Biyori: Nonstop,TV,"Comedy,Slice of Life",12,24477,83,83,2021
GREAT PRETENDER,ONA,"Action,Comedy,Drama,Thriller",23,125774,83,83,2020
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan,TV,"Comedy,Drama,Romance,Slice of Life",12,122174,83,83,2020
Shingeki no Kyojin Gaiden: Kuinaki Sentaku,OVA,"Action,Fantasy",2,89046,83,83,2015
Bakemonogatari,TV,"Comedy,Drama,Mystery,Psychological,Romance,Supernatural",15,208169,83,83,2010
Mushoku Tensei: Isekai Ittara Honki Dasu,TV,"Adventure,Drama,Ecchi,Fantasy",11,187044,82,82,2021
Hibike! Euphonium 2,TV,"Drama,Music,Slice of Life",13,47640,82,83,2017
Kamisama Hajimemashita: Kako-hen,OVA,"Comedy,Fantasy,Romance,Supernatural",4,20942,82,83,2016
Nichijou,TV,"Comedy,Slice of Life",26,136335,82,83,2011
Gintama: THE SEMI-FINAL,SPECIAL,"Action,Comedy",2,14190,82,83,2021
Fruits Basket: 1st Season,TV,"Comedy,Drama,Romance,Slice of Life,Supernatural",25,170748,82,82,2019
Yuu☆Yuu☆Hakusho,TV,"Action,Adventure,Comedy,Supernatural",112,89773,82,82,1994
Vivy: Fluorite Eye’s Song,TV,"Action,Drama,Music,Sci-Fi,Thriller",13,92825,82,82,2021
Modao Zushi,ONA,"Action,Adventure,Drama,Fantasy,Mystery,Supernatural",15,38693,82,82,2018
JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV,"Action,Adventure,Drama,Supernatural",24,161055,82,82,2015
Hotaru no Haka,MOVIE,Drama,1,105669,82,82,1988
SLAM DUNK,TV,"Comedy,Drama,Slice of Life,Sports",101,37082,82,82,1995
World Trigger 3rd Season,TV,"Action,Sci-Fi",14,15100,82,83,2022
Made in Abyss: Hourou Suru Tasogare,MOVIE,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",1,19982,82,83,2019
Gintama.: Porori-hen,TV,"Action,Comedy,Drama,Sci-Fi",13,32387,82,82,2018
Mahou Shoujo Madoka☆Magica,TV,"Action,Drama,Fantasy,Mahou Shoujo,Psychological,Thriller",12,185338,82,82,2011
Koukaku Kidoutai: STAND ALONE COMPLEX,TV,"Action,Mystery,Psychological,Sci-Fi",26,48712,82,82,2003
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",OVA,"Drama,Fantasy,Romance,Slice of Life",1,67242,82,82,2018
Mushishi Zoku Shou: Odoro no Michi,SPECIAL,"Adventure,Fantasy,Mystery,Psychological,Slice of Life,Supernatural",1,17863,82,82,2014
Barakamon,TV,"Comedy,Slice of Life",12,96872,82,82,2014
Major S5,TV,"Comedy,Drama,Romance,Sports",25,8642,82,83,2009
Sasaki to Miyano,TV,"Comedy,Romance,Slice of Life",12,33005,82,82,2022
Liz to Aoi Tori,MOVIE,"Drama,Music,Slice of Life",1,39325,82,82,2018
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,MOVIE,"Drama,Fantasy,Psychological",1,78516,82,82,2018
Diamond no Ace: Second Season,TV,"Comedy,Sports",51,20080,82,82,2016
Steins;Gate: Fuka Ryouiki no Déjà vu,MOVIE,"Drama,Romance,Sci-Fi,Thriller",1,85805,82,82,2013
Cowboy Bebop: Tengoku no Tobira,MOVIE,"Action,Drama,Mystery,Sci-Fi",1,49588,82,82,2001
Given: Uragawa no Sonzai,OVA,"Drama,Music,Romance,Slice of Life",1,15867,82,82,2022
Fumetsu no Anata e,TV,"Adventure,Drama,Fantasy,Psychological,Supernatural",20,166457,82,82,2021
Tenki no Ko,MOVIE,"Drama,Romance,Slice of Life,Supernatural",1,183233,82,82,2019
Dr. STONE,TV,"Action,Adventure,Comedy,Sci-Fi",24,300202,82,82,2020
Bungou Stray Dogs 3,TV,"Action,Comedy,Mystery,Supernatural",12,111140,82,82,2019
Doukyuusei,MOVIE,"Drama,Music,Romance,Slice of Life",1,52318,82,82,2016
SHIROBAKO,TV,"Comedy,Drama,Slice of Life",24,76210,82,82,2015
Katanagatari,TV,"Action,Adventure,Romance",12,86962,82,82,2011
Kara no Kyoukai: Satsujin Kousatsu (Kou),MOVIE,"Action,Mystery,Romance,Supernatural,Thriller",1,35020,82,82,2009
Grand Blue,TV,"Comedy,Slice of Life,Sports",12,119269,82,82,2018
K-ON!!,TV,"Comedy,Music,Slice of Life",26,104339,82,82,2010
Yuukoku no Moriarty Part 2,TV,"Drama,Mystery,Psychological,Thriller",13,43742,82,82,2021
GOTCHA!,MUSIC,Adventure,1,6536,82,82,2020
Wu Liuqi: Zui Qiang Faxingshi,ONA,"Action,Comedy,Drama,Mystery,Supernatural",10,10690,82,82,2020
Kiseijuu: Sei no Kakuritsu,TV,"Action,Drama,Horror,Psychological,Sci-Fi",24,290073,82,82,2015
PSYCHO-PASS,TV,"Action,Psychological,Sci-Fi,Thriller",22,213568,82,82,2013
RAINBOW: Nisha Rokubou no Shichinin,TV,"Drama,Thriller",26,57604,82,82,2010
Gyakkyou Burai Kaiji: Ultimate Survivor,TV,"Psychological,Thriller",26,58199,82,82,2008
Baccano!,TV,"Action,Mystery,Supernatural",13,120445,82,82,2007
Horimiya,TV,"Comedy,Romance,Slice of Life",13,251589,82,82,2021
Dr. STONE: STONE WARS,TV,"Action,Adventure,Comedy,Sci-Fi",11,177222,82,82,2021
Diamond no Ace Act II,TV,"Comedy,Sports",52,15456,82,82,2020
Saiki Kusuo no Ψ-nan: Kanketsu-hen,SPECIAL,"Comedy,Slice of Life,Supernatural",1,51854,82,82,2019
Natsume Yuujinchou: Utsusemi ni Musubu,MOVIE,"Drama,Fantasy,Slice of Life,Supernatural",1,10287,82,82,2018
Senki Zesshou Symphogear XV,TV,"Action,Drama,Mahou Shoujo,Music,Sci-Fi",13,11663,82,82,2019
Fate/stay night: Unlimited Blade Works 2nd Season,TV,"Action,Drama,Fantasy,Supernatural",13,124400,82,82,2015
Usagi Drop,TV,Slice of Life,11,67564,82,82,2011
Bakuman. 2,TV,"Comedy,Drama,Romance,Slice of Life",25,43050,82,82,2012
Ookami to Koushinryou II,TV,"Adventure,Fantasy,Romance",12,62676,82,82,2009
NHK ni Youkoso!,TV,"Comedy,Drama,Psychological,Romance,Slice of Life",24,104683,82,82,2007
HUNTER×HUNTER,TV,"Action,Adventure,Fantasy",62,68321,82,82,2000
Given Movie,MOVIE,"Drama,Music,Romance",1,64015,81,82,2020
Gyakkyou Burai Kaiji: Hakairoku-hen,TV,"Psychological,Thriller",26,32459,81,82,2011
Fate/Zero,TV,"Action,Drama,Fantasy,Supernatural",13,211429,81,81,2012
Cross Game,TV,"Comedy,Drama,Romance,Sports",50,19545,81,82,2010
Vanitas no Carte Part 2,TV,"Action,Drama,Fantasy,Mystery,Supernatural",12,44492,81,82,2022
Yuru Camp△,TV,"Comedy,Slice of Life",12,99231,81,81,2018
Mononoke,TV,"Fantasy,Horror,Mystery,Psychological,Supernatural",12,51005,81,81,2007
NARUTO: Shippuuden,TV,"Action,Comedy",500,342494,81,81,2012
Modao Zushi Q,ONA,"Comedy,Fantasy,Supernatural",30,4036,81,83,2021
86: Eighty Six,TV,"Action,Drama,Mecha,Sci-Fi",11,119228,81,81,2021
Kawaki wo Ameku,MUSIC,,1,9510,81,82,2019
Non Non Biyori: Vacation,MOVIE,"Comedy,Slice of Life",1,17404,81,82,2018
